timestamp,temperature,pressure,flow_rate,vibration
2026-04-23 09:31:21,190.03,48.03,101.73,0.37
2026-04-23 09:31:22,212.67,46.05,101.89,0.31
2026-04-23 09:31:23,192.53,47.52,103.14,0.63
2026-04-23 09:31:24,211.39,49.6,101.62,0.31
2026-04-23 09:31:25,201.1,46.96,100.19,0.61
2026-04-23 09:31:26,206.58,52.11,99.8,0.64
2026-04-23 09:31:27,205.14,45.32,99.0,0.54
2026-04-23 09:31:28,194.69,46.58,102.64,0.6
2026-04-23 09:31:29,204.12,48.08,101.37,0.38
2026-04-23 09:31:30,190.15,51.94,103.01,0.63
2026-04-23 09:31:31,194.24,52.72,102.18,0.58
2026-04-23 09:31:32,201.09,50.64,95.89,0.53
2026-04-23 09:31:34,199.07,47.93,101.12,0.54
2026-04-23 09:31:35,234.08,49.16,96.13,0.53
2026-04-23 09:31:36,207.0,52.21,97.46,0.47
2026-04-23 09:31:37,186.61,50.74,104.96,0.59
2026-04-23 09:31:38,197.07,50.12,60.04,0.5
2026-04-23 09:31:39,192.71,52.04,103.04,0.34
2026-04-23 09:31:40,188.02,48.45,99.93,0.43
2026-04-23 09:31:41,207.22,46.84,75.32,0.36
2026-04-23 09:31:42,192.15,49.45,74.8,0.43
2026-04-23 09:31:43,193.52,49.62,98.97,0.46
2026-04-23 09:31:44,205.51,52.98,100.04,0.32
2026-04-23 09:31:45,191.19,48.83,104.85,0.42
2026-04-23 09:31:46,209.4,52.89,103.64,0.6
2026-04-23 09:31:47,188.3,45.53,95.15,0.55
2026-04-23 09:31:48,197.1,46.97,103.3,0.48
2026-04-23 09:31:49,199.58,49.56,101.5,0.56
2026-04-23 09:31:50,194.64,50.19,99.66,0.53
2026-04-23 09:31:51,190.73,54.52,101.54,0.41
2026-04-23 09:31:52,191.79,53.98,104.14,0.6
2026-04-23 09:31:53,240.36,46.75,96.92,0.7
2026-04-23 09:31:54,200.19,54.85,100.4,0.4
2026-04-23 09:31:55,203.94,47.13,97.02,0.31
2026-04-23 09:31:56,207.11,53.49,96.98,0.42
2026-04-23 09:31:57,211.15,12.75,97.42,0.58
2026-04-23 09:31:58,202.81,50.19,100.26,0.35
2026-04-23 09:31:59,185.04,49.48,104.86,0.59
2026-04-23 09:32:01,201.31,51.03,75.25,0.38
2026-04-23 09:32:02,196.16,54.37,99.65,0.47
